pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
GJ 1214,b,GJ 1214 b,Transit,1.58040456,0.00000016,-0.00000016,0,0.01411,0.00032,-0.00032,0,,,,,14.65,0.04,-0.04,0,13.009,,0,MEarth Project
GJ 1252,b,GJ 1252 b,Transit,0.5182349,0.0000063,-0.000005,0,0.00916,0.00076,-0.00076,0,0,,,0,20.38,0.02,-0.02,0,11.236,,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265,b,GJ 1265 b,Radial Velocity,3.6511,0.0012,-0.0012,0,0.026,0.001,-0.001,0,0.04,0.04,-0.04,0,10.26,0.01,-0.01,0,12.081,,0,Calar Alto Observatory
GJ 143,b,GJ 143 b,Transit,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,0.188,0.076,-0.078,0,16.33,0.01,-0.01,0,7.679,,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A,b,GJ 15 A b,Radial Velocity,11.4407,0.0017,-0.0016,0,0.072,0.003,-0.004,0,0.094,0.091,-0.065,0,3.56,0,0,0,7.216,,0,W. M. Keck Observatory
GJ 15 A,c,GJ 15 A c,Radial Velocity,7600,2200,-1700,0,5.4,1,-0.9,0,0.27,0.28,-0.19,0,3.56,0,0,0,7.216,,0,Roque de los Muchachos Observatory
GJ 160.2,b,GJ 160.2 b,Radial Velocity,5.2354,0.0027,-0.0065,0,0.053,0.004,-0.007,0,0.06,0.2,-0.06,0,25.88,0.04,-0.04,0,9.202,,0,Multiple Observatories
GJ 163,b,GJ 163 b,Radial Velocity,8.63182,0.00155,-0.00155,0,0.0607,0.00001,-0.00001,0,0.073,0.05,-0.05,0,15.14,0.01,-0.01,0,10.677,,0,La Silla Observatory
GJ 163,c,GJ 163 c,Radial Velocity,25.63058,0.0255,-0.0255,0,0.1254,0.0001,-0.0001,0,0.099,0.086,-0.086,0,15.14,0.01,-0.01,0,10.677,,0,La Silla Observatory
GJ 163,d,GJ 163 d,Radial Velocity,603.95116,7.55862,-7.55862,0,1.0304,0.0086,-0.0086,0,0.373,0.077,-0.077,0,15.14,0.01,-0.01,0,10.677,,0,La Silla Observatory
GJ 179,b,GJ 179 b,Radial Velocity,2288,59,-59,0,2.41,0.04,-0.04,0,0.21,0.08,-0.08,0,12.36,0.01,-0.01,0,10.706,,0,W. M. Keck Observatory
GJ 180,b,GJ 180 b,Radial Velocity,17.133,0.003,-0.003,0,0.092,0.003,-0.003,0,0.07,0.04,-0.04,0,11.94,0,0,0,9.934,,0,Multiple Observatories
GJ 180,c,GJ 180 c,Radial Velocity,24.329,0.052,-0.066,0,0.129,0.007,-0.017,0,0.09,0.2,-0.09,0,11.94,0,0,0,9.934,,0,Multiple Observatories
GJ 180,d,GJ 180 d,Radial Velocity,106.3,0.129,-0.129,0,0.309,0.01,-0.01,0,0.14,0.04,-0.04,0,11.94,0,0,0,9.934,,0,Multiple Facilities
GJ 229,c,GJ 229 A c,Radial Velocity,121.995,0.161,-0.161,0,0.339,0.011,-0.011,0,0.19,0.08,-0.08,0,5.76,0,0,0,7.307,,0,Multiple Facilities
GJ 229,b,GJ 229 b,Radial Velocity,526.115,4.3,-4.3,0,0.898,0.031,-0.031,0,0.1,0.06,-0.06,0,5.76,0,0,0,7.307,,0,Multiple Observatories
GJ 27.1,b,GJ 27.1 b,Radial Velocity,15.819,0.023,-0.026,0,0.101,0.009,-0.013,0,0.08,0.18,-0.08,0,23.62,0.03,-0.03,0,10.579,,0,Multiple Observatories
GJ 273,b,GJ 273 b,Radial Velocity,18.6498,0.0059,-0.0052,0,0.091101,0.000019,-0.000017,0,0.1,0.09,-0.07,0,3.8,0.02,-0.02,0,,,,La Silla Observatory
GJ 273,c,GJ 273 c,Radial Velocity,4.7234,0.0004,-0.0004,0,0.036467,0.000002,-0.000002,0,0.17,0.13,-0.12,0,3.8,0.02,-0.02,0,,,,La Silla Observatory
GJ 3021,b,GJ 3021 b,Radial Velocity,133.71,0.2,-0.2,0,0.49,,,0,0.511,0.017,-0.017,0,17.56,0.01,-0.01,0,6.394,,0,La Silla Observatory
GJ 3082,b,GJ 3082 b,Radial Velocity,11.949,0.022,-0.022,0,0.079,0.003,-0.003,0,0.22,0.11,-0.11,0,16.63,0.01,-0.01,0,10.201,,0,Multiple Facilities
GJ 3138,b,GJ 3138 b,Radial Velocity,1.22003,0.00006,-0.00004,0,0.0197,0.0005,-0.0005,0,0.19,0.18,-0.13,0,28.49,0.03,-0.03,0,10.192,,0,La Silla Observatory
GJ 3138,c,GJ 3138 c,Radial Velocity,5.974,0.001,-0.001,0,0.057,0.001,-0.001,0,0.11,0.11,-0.07,0,28.49,0.03,-0.03,0,10.192,,0,La Silla Observatory
GJ 3138,d,GJ 3138 d,Radial Velocity,257.8,3.6,-3.5,0,0.698,0.018,-0.019,0,0.32,0.2,-0.21,0,28.49,0.03,-0.03,0,10.192,,0,La Silla Observatory
GJ 317,b,GJ 317 b,Radial Velocity,692,2,-2,0,1.15,0.05,-0.05,0,0.11,0.05,-0.05,0,15.1,0.22,-0.22,0,10.754,,0,W. M. Keck Observatory
GJ 317,c,GJ 317 c,Radial Velocity,5312,758,-1248,0,,,,0,0.308,0.065,-0.079,0,15.1,0.22,-0.22,0,10.754,,0,W. M. Keck Observatory
GJ 328,b,GJ 328 b,Radial Velocity,4100,300,-300,0,4.5,0.2,-0.2,0,0.37,0.05,-0.05,0,20.54,0.02,-0.02,0,9.286,,0,McDonald Observatory
GJ 3293,b,GJ 3293 b,Radial Velocity,30.5987,0.0083,-0.0084,0,0.14339,0.00003,-0.00003,0,0.06,0.04,-0.04,0,20.2,0.02,-0.02,0,10.979,,0,La Silla Observatory
GJ 3293,c,GJ 3293 c,Radial Velocity,122.6196,0.2429,-0.2371,0,0.36175,0.00048,-0.00047,0,0.11,0.1,-0.08,0,20.2,0.02,-0.02,0,10.979,,0,La Silla Observatory
GJ 3293,d,GJ 3293 d,Radial Velocity,48.1345,0.0628,-0.0661,0,0.19394,0.00017,-0.00018,0,0.12,0.13,-0.09,0,20.2,0.02,-0.02,0,10.979,,0,La Silla Observatory
GJ 3293,e,GJ 3293 e,Radial Velocity,13.2543,0.0078,-0.0104,0,0.08208,0.00003,-0.00004,0,0.21,0.2,-0.14,0,20.2,0.02,-0.02,0,10.979,,0,La Silla Observatory
GJ 3323,b,GJ 3323 b,Radial Velocity,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0,0.23,0.11,-0.11,0,5.32,0.04,-0.04,0,10.647,,0,La Silla Observatory
GJ 3323,c,GJ 3323 c,Radial Velocity,40.54,0.21,-0.19,0,0.1264,0.0021,-0.0022,0,0.17,0.21,-0.12,0,5.32,0.04,-0.04,0,10.647,,0,La Silla Observatory
GJ 3341,b,GJ 3341 b,Radial Velocity,14.207,0.007,-0.007,0,0.089,,,0,0.31,0.11,-0.11,0,23.16,0.78,-0.73,0,11.103,,0,La Silla Observatory
GJ 3470,b,GJ 3470 b,Radial Velocity,3.3366496,0.0000039,-0.0000033,0,0.0355,0.0019,-0.0019,0,,,,,29.45,0.05,-0.05,0,11.354,,0,La Silla Observatory
GJ 3512,b,GJ 3512 b,Radial Velocity,203.59,0.14,-0.14,0,0.338,0.008,-0.0084,0,0.4356,0.0042,-0.0042,0,9.49,0.01,-0.01,0,13.112,,0,Calar Alto Observatory
GJ 357,b,GJ 357 b,Transit,3.93072,0.00008,-0.00006,0,0.035,0.002,-0.002,0,,,,0,9.44,0.01,-0.01,0,9.88,,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,c,GJ 357 c,Radial Velocity,9.1247,0.0011,-0.001,0,0.061,0.004,-0.004,0,,,,0,9.44,0.01,-0.01,0,9.88,,0,Multiple Observatories
GJ 357,d,GJ 357 d,Radial Velocity,55.661,0.055,-0.055,0,0.204,0.015,-0.015,0,,,,0,9.44,0.01,-0.01,0,9.88,,0,Multiple Observatories
GJ 3634,b,GJ 3634 b,Radial Velocity,2.64561,0.00066,-0.00066,0,0.0287,0.001,-0.0011,0,0.08,0.094,-0.057,0,19.8,0.6,-0.6,0,10.923,,0,La Silla Observatory
GJ 3779,b,GJ 3779 b,Radial Velocity,3.0232,0.0013,-0.0013,0,0.026,0.001,-0.001,0,0.07,0.05,-0.05,0,13.75,0.01,-0.01,0,11.627,,0,Calar Alto Observatory
GJ 3942,b,GJ 3942 b,Radial Velocity,6.905,0.04,-0.04,0,0.0608,0.0068,-0.0068,0,0.121,0.118,-0.118,0,16.94,0.01,-0.01,0,9.408,,0,Roque de los Muchachos Observatory
GJ 3998,b,GJ 3998 b,Radial Velocity,2.64977,0.00081,-0.00077,0,0.029,0.001,-0.001,0,0,,,0,18.16,0.02,-0.02,0,9.983,,0,Roque de los Muchachos Observatory
GJ 3998,c,GJ 3998 c,Radial Velocity,13.74,0.016,-0.016,0,0.089,0.003,-0.003,0,0.049,0.052,-0.034,0,18.16,0.02,-0.02,0,9.983,,0,Roque de los Muchachos Observatory
GJ 411,b,GJ 411 b,Radial Velocity,12.9532,0.0079,-0.0079,0,0.0785,0.0027,-0.0027,0,0.22,0.13,-0.13,0,2.55,0,0,0,,,,Haute-Provence Observatory
GJ 422,b,GJ 422 b,Radial Velocity,20.129,0.005,-0.005,0,0.111,0.004,-0.004,0,0.11,0.04,-0.04,0,12.67,0.01,-0.01,0,10.477,,0,Multiple Observatories
GJ 4276,b,GJ 4276 b,Radial Velocity,13.352,0.003,-0.003,0,0.082,0.002,-0.002,0,0.37,0.03,-0.03,0,21.35,0.02,-0.02,0,11.66,,0,Calar Alto Observatory
GJ 433,b,GJ 433 b,Radial Velocity,7.3705,0.0005,-0.0005,0,0.062,0.002,-0.002,0,0.04,0.03,-0.03,0,9.07,0,0,0,8.891,,0,La Silla Observatory
GJ 433,c,GJ 433 c,Radial Velocity,5094.105,608.617,-608.617,0,4.819,0.417,-0.417,0,0.12,0.07,-0.07,0,9.07,0,0,0,8.891,,0,Multiple Observatories
GJ 433,d,GJ 433 d,Radial Velocity,36.059,0.016,-0.016,0,0.178,0.006,-0.006,0,0.07,0.05,-0.05,0,9.07,0,0,0,8.891,,0,Multiple Facilities
GJ 436,b,GJ 436 b,Radial Velocity,2.64388312,0.00000057,-0.00000057,0,0.0291,0.0015,-0.0015,0,0.13827,0.00018,-0.00018,0,9.76,0.01,-0.01,0,9.571,,0,W. M. Keck Observatory
GJ 504,b,GJ 504 b,Imaging,,,,,43.5,,,0,,,,,17.54,0.08,-0.08,0,5.001,,0,Subaru Telescope
GJ 536,b,GJ 536 b,Radial Velocity,8.7076,0.0022,-0.0025,0,0.06661,0.000011,-0.000013,0,0.08,0.09,-0.06,0,10.41,0.01,-0.01,0,8.859,,0,La Silla Observatory
GJ 581,b,GJ 581 b,Radial Velocity,5.3686,0.0001,-0.0001,0,0.04061,0.00003,-0.00003,0,0,0.03,-0.03,0,6.3,0,0,0,9.411,,0,La Silla Observatory
GJ 581,c,GJ 581 c,Radial Velocity,12.914,0.002,-0.002,0,0.0721,0.0003,-0.0003,0,0,0.06,-0.06,0,6.3,0,0,0,9.411,,0,La Silla Observatory
GJ 581,e,GJ 581 e,Radial Velocity,3.149,0.0002,-0.0002,0,0.02815,0.00006,-0.00006,0,0,0.06,-0.06,0,6.3,0,0,0,9.411,,0,La Silla Observatory
GJ 625,b,GJ 625 b,Radial Velocity,14.628,0.012,-0.013,0,0.078361,0.000044,-0.000046,0,0.13,0.12,-0.09,0,6.49,,,0,9.137,,0,Multiple Observatories
GJ 649,b,GJ 649 b,Radial Velocity,598.3,4.2,-4.2,0,1.135,0.035,-0.035,0,0.3,0.08,-0.08,0,10.38,0,0,0,8.819,,0,W. M. Keck Observatory
GJ 667 C,b,GJ 667 C b,Radial Velocity,7.2004,0.0017,-0.0017,0,0.0505,0.0044,-0.0053,0,0.13,0.1,-0.11,0,6.8,,,0,9.38,,0,La Silla Observatory
GJ 667 C,c,GJ 667 C c,Radial Velocity,28.14,0.053,-0.065,0,0.125,0.012,-0.013,0,0.02,0.15,-0.02,0,6.8,,,0,9.38,,0,La Silla Observatory
GJ 667 C,e,GJ 667 C e,Radial Velocity,62.24,0.55,-0.55,0,0.213,0.019,-0.022,0,0.02,0.22,-0.02,0,6.8,,,0,9.38,,0,La Silla Observatory
GJ 667 C,f,GJ 667 C f,Radial Velocity,39.026,0.194,-0.211,0,0.156,0.014,-0.017,0,0.03,0.16,-0.03,0,6.8,,,0,9.38,,0,La Silla Observatory
GJ 667 C,g,GJ 667 C g,Radial Velocity,256.2,13.8,-7.9,0,0.549,0.052,-0.058,0,0.08,0.41,-0.08,0,6.8,,,0,9.38,,0,La Silla Observatory
GJ 674,b,GJ 674 b,Radial Velocity,4.6938,0.007,-0.007,0,0.039,,,0,0.2,0.02,-0.02,0,4.55,0,0,0,8.331,,0,La Silla Observatory
GJ 676 A,b,GJ 676 A b,Radial Velocity,1056.80005,2.8,-2.8,0,1.82,0.06,-0.06,0,0.33,0.01,-0.01,0,16.03,0.01,-0.01,0,8.865,,0,La Silla Observatory
GJ 676 A,c,GJ 676 A c,Radial Velocity,7337,95,-92,0,6.6,0.1,-0.1,0,,,,,16.03,0.01,-0.01,0,8.865,,0,Paranal Observatory
